Período Ocorrência,Cidade,Descrição Local,Rubrica,Cidade Veículo,Cor Veículo,Ano Modelo,Tipo Veículo,Modelo Veículo,Marca Veículo,contagem_descricaolocal,contagem_modelo_veic
A NOITE,DIADEMA,Via Pública,Furto (art. 155) - VEICULO,DIADEMA,Prata,0,AUTOMOVEL,VW SPACECROSS GII,I,6309,7
A NOITE,OSASCO,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Preta,0,MOTOCICLO,CG 160 FAN,HONDA,6309,1278
PELA MANHÃ,BARUERI,Residência,"Furto qualificado (art. 155, §4o.) - VEICULO",SANTOS,Preta,0,MOTOCICLO,SUZUKI INTRUDER 125,JTA,1162,14
A TARDE,CARAPICUIBA,Via Pública,Furto (art. 155) - VEICULO,CARAPICUÍBA,Prata,0,AUTOMOVEL,CELTA 1.0L LS,CHEVROLET,6309,26
A NOITE,GUARULHOS,Via Pública,Furto (art. 155) - VEICULO,GUARULHOS,Preta,0,MOTOCICLO,CG 160 FAN ESDI,HONDA,6309,111
A NOITE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Preta,0,AUTOMOVEL,ONIX 1.0MT LT,CHEVROLET,6309,438
A NOITE,BARUERI,Via pública,Furto (art. 155) - VEICULO,SANTANA DE PARNAIBA,Vermelho,2022,MOTOCICLO,CG 160 TITAN,HONDA,22353,662
A NOITE,POA,Estacionamento particular,Furto (art. 155) - VEICULO,ITAQUAQUECETUBA,Verde,0,AUTOMOVEL,CORSA SUPER,GM,381,194
A TARDE,DIADEMA,Estacionamento particular,Furto (art. 155) - VEICULO,DIADEMA,Cinza,0,MOTOCICLO,CG 160 TITAN,HONDA,381,662
PELA MANHÃ,S.BERNARDO DO CAMPO,Via Pública,Furto (art. 155) - VEICULO,SÃO BERNARDO DO CAMP,Branco,0,AUTOMOVEL,FORD RANGER XL 13P,I,6309,8
A NOITE,GUARULHOS,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Preta,0,AUTOMOVEL,CRUZE LT NB,CHEVROLET,6309,10
A NOITE,OSASCO,Via Pública,Furto (art. 155) - VEICULO,OSASCO,Preta,0,AUTOMOVEL,KA SE 1.0 HA B,FORD,6309,254
A NOITE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Branco,0,AUTOMOVEL,HB20S 1.6A PREM,HYUNDAI,6309,28
A TARDE,FERRAZ DE VASCONCELOS,Outros,Furto (art. 155) - VEICULO,FERRAZ DE VASCONCELO,Azul,0,MOTOCICLO,ELITE 125,HONDA,645,37
PELA MANHÃ,S.CAETANO DO SUL,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Preta,0,AUTOMOVEL,HYUNDAI I30 2.0,I,6309,216
DE MADRUGADA,OSASCO,Via Pública,Furto (art. 155) - VEICULO,OSASCO,Branco,0,AUTOMOVEL,ECOSPORT FSL 1.6B,FORD,6309,3
A TARDE,ITAQUAQUECETUBA,Via pública,Localização/Apreensão e Entrega de veículo,,,0,,,,22353,0
A TARDE,ITAQUAQUECETUBA,Via pública,Localização/Apreensão e Entrega de veículo,POA,Prata,1996,AUTOMOVEL,GOL CLI 1.8,VW,22353,24
A TARDE,ITAQUAQUECETUBA,Via pública,Furto (art. 155) - VEICULO,,,0,,,,22353,0
A TARDE,ITAQUAQUECETUBA,Via pública,Furto (art. 155) - VEICULO,POA,Prata,1996,AUTOMOVEL,GOL CLI 1.8,VW,22353,24
DE MADRUGADA,S.BERNARDO DO CAMPO,Via pública,Furto (art. 155) - VEICULO,S.BERNARDO DO CAMPO,Vermelho,1998,AUTOMOVEL,GOL MI,VW,22353,147
A NOITE,MAUA,Outros,Furto (art. 155) - VEICULO,MAUÁ,Preta,0,AUTOMOVEL,PARATI S,VW,645,6
A TARDE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Branco,0,AUTOMOVEL,KA SE 1.5 SD B,FORD,6309,40
A NOITE,ITAPECERICA DA SERRA,Via Pública,Furto (art. 155) - VEICULO,CAMPINAS,Branco,0,MOTOCICLO,CG 160 CARGO,HONDA,6309,86
A NOITE,S.ANDRE,Via pública,Furto (art. 155) - VEICULO,BELO HORIZONTE,Cinza,0,AUTOMOVEL,GOL 1.6L MB5,VW,22353,63
A NOITE,MAUA,Via pública,Furto (art. 155) - VEICULO,MAUA,Preta,2007,MOTOCICLO,FAZER YS250,YAMAHA,22353,134
PELA MANHÃ,GUARULHOS,Residência,Furto (art. 155) - VEICULO,S.PAULO,Azul,2007,MOTOCICLO,SUZUKI GSXR1000,JTA,1162,1
DE MADRUGADA,EMBU DAS ARTES,Via pública,Furto (art. 155) - VEICULO,EMBU DAS ARTES,Branco,2001,AUTOMOVEL,CORSA WIND,GM,22353,785
PELA MANHÃ,S.ANDRE,Via pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Branco,0,AUTOMOVEL,UNO 1.0,FIAT,22353,33
DE MADRUGADA,ITAPEVI,Via Pública,Furto (art. 155) - VEICULO,ITAPEVI,Prata,0,AUTOMOVEL,FIESTA SEDAN FLEX,FORD,6309,7
DE MADRUGADA,EMBU DAS ARTES,Via pública,Furto (art. 155) - VEICULO,SAO PAULO,Azul,1995,AUTOMOVEL,UNO ELETRONIC,FIAT,22353,283
PELA MANHÃ,MOGI DAS CRUZES,Via pública,Furto (art. 155) - VEICULO,GUARULHOS,Verde,2001,AUTOMOVEL,UNO MILLE SMART,FIAT,22353,67
A NOITE,S.BERNARDO DO CAMPO,Via pública,Furto (art. 155) - VEICULO,S.BERNARDO DO CAMPO,Preta,2022,MOTOCICLO,CG 160 FAN,HONDA,22353,1278
A NOITE,OSASCO,Outros,Furto (art. 155) - VEICULO,SÃO PAULO,Prata,0,AUTOMOVEL,KA CLX,FORD,645,3
A NOITE,MOGI DAS CRUZES,Via Pública,Furto (art. 155) - VEICULO,MOGI DAS CRUZES,Branco,0,AUTOMOVEL,LADA SAMARA,IMP,6309,1
DE MADRUGADA,S.ANDRE,Condominio Residencial,Furto (art. 155) - VEICULO,S.ANDRE,Cinza,2012,AUTOMOVEL,GOL 1.0,VW,330,105
A NOITE,S.ANDRE,Via pública,Furto (art. 155) - VEICULO,S.PAULO,Bege,1992,AUTOMOVEL,PARATI GL 1.8,VW,22353,14
DE MADRUGADA,ITAPEVI,Via Pública,Furto (art. 155) - VEICULO,ITAPEVI,Vermelho,0,AUTOMOVEL,PARATI GL,VW,6309,16
PELA MANHÃ,MOGI DAS CRUZES,Via pública,Furto (art. 155) - VEICULO,BRASILIA,Branco,2013,AUTOMOVEL,FIAT SIENA EL,IMP,22353,7
PELA MANHÃ,OSASCO,Garagem ou abrigo de residência,Furto (art. 155) - VEICULO,OSASCO,Vermelho,0,MOTOCICLO,HONDA 150,H,952,45
A NOITE,CAJAMAR,Estacionamento público,Furto (art. 155) - VEICULO,SANTANA DE PARNAÍBA,Azul,0,MOTOCICLO,CG 160 TITAN,HONDA,962,662
PELA MANHÃ,CARAPICUIBA,Via pública,Furto (art. 155) - VEICULO,CARAPICUIBA,Vermelho,2013,AUTOMOVEL,PALIO ATTRACTIV 1.4,FIAT,22353,40
DE MADRUGADA,RIBEIRAO PIRES,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Cinza,0,AUTOMOVEL,GM CAPTIVA SPORT V6FWD,I,6309,1
PELA MANHÃ,MAUA,Via Pública,Furto (art. 155) - VEICULO,SÃO BERNARDO DO CAMP,Prata,0,AUTOMOVEL,PALIO ATTRACTIV 1.0,FIAT,6309,96
PELA MANHÃ,MARAPOAMA,Via Pública,Furto (art. 155) - VEICULO,FERRAZ DE VASCONCELO,Prata,0,AUTOMOVEL,PEUGEOT 307SW 20SA ALL,I,6309,1
PELA MANHÃ,OSASCO,Via pública,Furto (art. 155) - VEICULO,OSASCO,Branco,2008,CAMINHONETE,FIORINO FLEX,FIAT,22353,65
PELA MANHÃ,MAUA,Via Pública,Furto (art. 155) - VEICULO,MAUÁ,Branco,0,AUTOMOVEL,ARGO 1.0,FIAT,6309,120
EM HORA INCERTA,MOGI DAS CRUZES,Condominio Residencial,Localização/Apreensão e Entrega de veículo,,,0,,,,330,0
EM HORA INCERTA,MOGI DAS CRUZES,Condominio Residencial,Localização/Apreensão e Entrega de veículo,MOGI DAS CRUZES,Preta,2020,MOTOCICLO,MT03 ABS,YAMAHA,330,69
EM HORA INCERTA,MOGI DAS CRUZES,Condominio Residencial,Furto (art. 155) - VEICULO,,,0,,,,330,0
EM HORA INCERTA,MOGI DAS CRUZES,Condominio Residencial,Furto (art. 155) - VEICULO,MOGI DAS CRUZES,Preta,2020,MOTOCICLO,MT03 ABS,YAMAHA,330,69
PELA MANHÃ,OSASCO,Via pública,Furto (art. 155) - VEICULO,S.PAULO,Prata,2013,CAMINHÃO,8.160 DRC 4X2,VW,22353,5
PELA MANHÃ,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SÃO BERNARDO DO CAMP,Vermelho,0,AUTOMOVEL,NOVO GOL 1.0,VW,6309,31
EM HORA INCERTA,MAUA,Via pública,Furto (art. 155) - VEICULO,MAUA,Vermelho,1997,AUTOMOVEL,GOL I,VW,22353,62
EM HORA INCERTA,GUARULHOS,Condominio Residencial,Furto (art. 155) - VEICULO,GUARULHOS,Preta,2008,AUTOMOVEL,SIENA FIRE FLEX,FIAT,330,37
PELA MANHÃ,COTIA,Via pública,Furto (art. 155) - VEICULO,COTIA,Vermelho,2022,MOTOCICLO,CG 160 TITAN,HONDA,22353,662
A NOITE,FERRAZ DE VASCONCELOS,Via pública,Furto (art. 155) - VEICULO,SÃO PAULO,Verde,0,AUTOMOVEL,LOGUS GLI 1.8,VW,22353,10
PELA MANHÃ,SANTANA DE PARNAIBA,Via Pública,Furto (art. 155) - VEICULO,OSASCO,Branco,0,AUTOMOVEL,RENEGADE LNGTD AT,JEEP,6309,19
EM HORA INCERTA,FERRAZ DE VASCONCELOS,Via pública,"Furto qualificado (art. 155, §4o.) - VEICULO",FERRAZ DE VASCONCEL,Vermelho,2019,AUTOMOVEL,ONIX 1.4AT LTZ,CHEVROLET,22353,150
PELA MANHÃ,S.BERNARDO DO CAMPO,Via Pública,Furto (art. 155) - VEICULO,SÃO BERNARDO DO CAMP,Preta,0,AUTOMOVEL,ONIX 1.4MT LT,CHEVROLET,6309,114
PELA MANHÃ,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Branco,0,AUTOMOVEL,NIVUS CL TSI AD,VW,6309,17
A TARDE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Preta,0,AUTOMOVEL,ARGO DRIVE 1.0,FIAT,6309,368
A NOITE,S.BERNARDO DO CAMPO,Via Pública,Furto (art. 155) - VEICULO,SÃO BERNARDO DO CAMP,Branco,0,MOTOCICLO,FAZER YS250,YAMAHA,6309,134
PELA MANHÃ,MOGI DAS CRUZES,Via Pública,Furto (art. 155) - VEICULO,MOGI DAS CRUZES,Branco,0,AUTOMOVEL,KA SE 1.0 HA C,FORD,6309,175
PELA MANHÃ,TABOAO DA SERRA,Via pública,Furto (art. 155) - VEICULO,MAUA,Branco,1997,AUTOMOVEL,PALIO EDX,FIAT,22353,44
A TARDE,MAUA,Via pública,Furto (art. 155) - VEICULO,MAUA,Cinza,2017,AUTOMOVEL,PRISMA 1.4MT LT,CHEV,22353,127
PELA MANHÃ,OSASCO,Via Pública,Furto (art. 155) - VEICULO,COTIA,Vermelho,0,AUTOMOVEL,KA SE 1.0 HA C,FORD,6309,175
PELA MANHÃ,S.BERNARDO DO CAMPO,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Preta,0,AUTOMOVEL,T CROSS HL TSI AE,VW,6309,20
A TARDE,GUARULHOS,Via pública,Furto (art. 155) - VEICULO,BELO HORIZONTE,Prata,2022,AUTOMOVEL,GOL 1.6L MB5,VW,22353,63
PELA MANHÃ,GUARULHOS,Comércio e serviços,Furto (art. 155) - VEICULO,GUARULHOS,Prata,2019,MOTOCICLO,CG 160 TITAN,HONDA,603,662
PELA MANHÃ,TABOAO DA SERRA,Via pública,Furto (art. 155) - VEICULO,TABOAO DA SERRA,Vermelho,2008,MOTOCICLO,CTM GREEN SPORT,I,22353,1
PELA MANHÃ,OSASCO,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Vermelho,0,MOTOCICLO,CG 160 FAN,HONDA,6309,1278
DE MADRUGADA,TABOAO DA SERRA,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Prata,0,AUTOMOVEL,CLIO RN 1.0 16V,RENAULT,6309,3
A TARDE,ITAPEVI,Via Pública,Furto (art. 155) - VEICULO,ITAPEVI,Vermelho,0,AUTOMOVEL,FOX TL MBV,VW,6309,6
PELA MANHÃ,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Branco,0,AUTOMOVEL,SAVEIRO CD HL MB,VW,6309,3
A TARDE,SUZANO,Outros,Furto (art. 155) - VEICULO,SUZANO,Azul,0,MOTOCICLO,CG 160 FAN,HONDA,645,1278
PELA MANHÃ,OSASCO,Via Pública,Furto (art. 155) - VEICULO,CARAPICUÍBA,Vermelho,0,MOTOCICLO,XRE 300,HONDA,6309,149
PELA MANHÃ,MOGI DAS CRUZES,Via Pública,Furto (art. 155) - VEICULO,MOGI DAS CRUZES,Cinza,0,AUTOMOVEL,GOL SPECIAL MB,VW,6309,5
A TARDE,EMBU DAS ARTES,Via pública,Furto (art. 155) - VEICULO,EMBU DAS ARTES,Branco,1996,AUTOMOVEL,UNO MILLE EP,FIAT,22353,125
PELA MANHÃ,ITAPEVI,Via pública,Furto (art. 155) - VEICULO,ITAPEVI,Cinza,2022,MOTOCICLO,CG 160 TITAN,HONDA,22353,662
DE MADRUGADA,GUARULHOS,Via pública,Furto (art. 155) - VEICULO,S.PAULO,Vermelho,1992,CAMINHONETE,SAVEIRO CL,VW,22353,15
EM HORA INCERTA,COTIA,Via pública,Furto (art. 155) - VEICULO,COTIA,Vermelho,2013,AUTOMOVEL,FOX 1.0 GII,VW,22353,60
DE MADRUGADA,S.BERNARDO DO CAMPO,Via Pública,Furto (art. 155) - VEICULO,SÃO BERNARDO DO CAMP,Preta,0,AUTOMOVEL,VERONA GLX,FORD,6309,5
A TARDE,POA,Via pública,Furto (art. 155) - VEICULO,POA,Cinza,2019,AUTOMOVEL,PRISMA 1.4MT LT,CHEV,22353,127
A TARDE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Vermelho,0,AUTOMOVEL,CORSA,GM,6309,29
A TARDE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Prata,0,AUTOMOVEL,T CROSS SENSE TSI AD,VW,6309,80
A TARDE,GUARULHOS,Via Pública,Furto (art. 155) - VEICULO,GUARULHOS,Prata,0,MOTOCICLO,CG 160 FAN,HONDA,6309,1278
PELA MANHÃ,OSASCO,Estacionamento público,Furto (art. 155) - VEICULO,OSASCO,Cinza,0,MOTOCICLO,PCX 150,HONDA,962,234
A TARDE,OSASCO,Estacionamento público,Furto (art. 155) - VEICULO,OSASCO,Vermelho,0,MOTOCICLO,CG 160 START,HONDA,962,433
PELA MANHÃ,OSASCO,Via Pública,Furto (art. 155) - VEICULO,BARUERI,Branco,0,AUTOMOVEL,ONIX 1.4MT LTZ,CHEVROLET,6309,102
DE MADRUGADA,S.BERNARDO DO CAMPO,Garagem coletiva de prédio,Furto (art. 155) - VEICULO,SÃO BERNARDO DO CAMP,Branco,0,AUTOMOVEL,HR HDB,HYUNDAI,241,100
A TARDE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Preta,0,AUTOMOVEL,PALIO ATTRACTIV 1.0,FIAT,6309,96
A NOITE,S.BERNARDO DO CAMPO,Via Pública,Furto (art. 155) - VEICULO,SÃO BERNARDO DO CAMP,Preta,0,AUTOMOVEL,HYUNDAI I30 2.0,I,6309,216
PELA MANHÃ,S.BERNARDO DO CAMPO,Via pública,Furto (art. 155) - VEICULO,SÃO BERNARDO DO CAM,Cinza,0,AUTOMOVEL,POLO MF,VW,22353,17
A TARDE,GUARULHOS,Via Pública,Furto (art. 155) - VEICULO,GUARULHOS,Cinza,0,AUTOMOVEL,CORSA MILENIUM,GM,6309,132
A TARDE,TABOAO DA SERRA,Via pública,Furto (art. 155) - VEICULO,SAO PAULO,Preta,2000,AUTOMOVEL,GOL SPECIAL,VW,22353,196
A NOITE,OSASCO,Via pública,Furto (art. 155) - VEICULO,OSASCO,Prata,2020,AUTOMOVEL,COBALT 18A LTZ,CHEVROLET,22353,135
DE MADRUGADA,CARAPICUIBA,Residência,"Furto qualificado (art. 155, §4o.) - VEICULO",CARAPICUIBA,Verde,2002,MOTOCICLO,CG 125 TITAN KS,HONDA,1162,37
A TARDE,OSASCO,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Prata,0,AUTOMOVEL,GOL 1.0L MC4,VW,6309,249
A TARDE,FRANCO DA ROCHA,Garagem ou abrigo de residência,Furto (art. 155) - VEICULO,FRANCO DA ROCHA,Preta,0,MOTOCICLO,CB 300R,HONDA,952,115
A NOITE,GUARULHOS,Via Pública,Furto (art. 155) - VEICULO,GUARULHOS,Preta,0,AUTOMOVEL,ECOSPORT FSL 1.6,FORD,6309,60
PELA MANHÃ,ITAPEVI,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Azul,0,Não Informado,DUARTE CAR ABERTA,R,6309,1
A TARDE,S.BERNARDO DO CAMPO,Via Pública,Furto (art. 155) - VEICULO,SÃO BERNARDO DO CAMP,Branco,0,AUTOMOVEL,DUSTER 20 D 4X2A,RENAULT,6309,16
A NOITE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Vermelho,0,AUTOMOVEL,,TOYOTA ETIOS SD X,6309,0
A NOITE,POA,Via Pública,Furto (art. 155) - VEICULO,FERRAZ DE VASCONCELO,Azul,0,MOTOCICLO,PCX 150,HONDA,6309,234
A NOITE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,BELO HORIZONTE,Branco,0,AUTOMOVEL,KWID ZEN 10MT,RENAULT,6309,104
A NOITE,GUARULHOS,Garagem ou abrigo de residência,Furto (art. 155) - VEICULO,GUARULHOS,Prata,0,AUTOMOVEL,FIAT FREEMONT EMOTION,I,952,2
A NOITE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Azul,0,AUTOMOVEL,ONIX 1.4AT LTZ,CHEVROLET,6309,150
A TARDE,GUARULHOS,Via pública,Localização/Apreensão e Entrega de veículo,,,0,,,,22353,0
A TARDE,GUARULHOS,Via pública,Localização/Apreensão e Entrega de veículo,GUARULHOS,Cinza,2021,MOTOCICLO,XRE 300 ABS,HONDA,22353,179
A TARDE,GUARULHOS,Via pública,Furto (art. 155) - VEICULO,,,0,,,,22353,0
A TARDE,GUARULHOS,Via pública,Furto (art. 155) - VEICULO,GUARULHOS,Cinza,2021,MOTOCICLO,XRE 300 ABS,HONDA,22353,179
A NOITE,OSASCO,Via Pública,Furto (art. 155) - VEICULO,CARAPICUÍBA,Cinza,0,AUTOMOVEL,SIENA ELX FLEX,FIAT,6309,10
A NOITE,S.BERNARDO DO CAMPO,Via pública,Furto (art. 155) - VEICULO,DIADEMA,Cinza,2018,AUTOMOVEL,ONIX 1.4AT LTZ,CHEVROLET,22353,150
A TARDE,OSASCO,Estacionamento público,Furto (art. 155) - VEICULO,OSASCO,Preta,0,AUTOMOVEL,STRADA ADVENTURE CD,FIAT,962,38
A NOITE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Preta,0,AUTOMOVEL,CRETA 16A ATTITU,HYUNDAI,6309,59
A NOITE,COTIA,Via pública,Furto (art. 155) - VEICULO,COTIA,Vermelho,0,AUTOMOVEL,FOX ROCK IN RIO,VW,22353,16
DE MADRUGADA,S.BERNARDO DO CAMPO,Via pública,Furto (art. 155) - VEICULO,DIADEMA,Branco,1997,AUTOMOVEL,GOL MI,VW,22353,147
DE MADRUGADA,COTIA,Residência,Furto (art. 155) - VEICULO,COTIA,Azul,2020,MOTOCICLO,CG 160 TITAN,HONDA,1162,662
A TARDE,TABOAO DA SERRA,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Preta,0,MOTOCICLO,CG 160 FAN,HONDA,6309,1278
A NOITE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Vermelho,0,MOTOCICLO,CG 160 FAN,HONDA,6309,1278
DE MADRUGADA,BARUERI,Residência,Furto (art. 155) - VEICULO,BARUERI,Vermelho,0,MOTOCICLO,CG 160 FAN,HONDA,1162,1278
PELA MANHÃ,S.BERNARDO DO CAMPO,Via Pública,Furto (art. 155) - VEICULO,SÃO BERNARDO DO CAMP,Preta,0,AUTOMOVEL,ONIX 1.4MT LT,CHEVROLET,6309,114
DE MADRUGADA,DIADEMA,Via pública,Furto (art. 155) - VEICULO,DIADEMA,Azul,2015,AUTOMOVEL,PALIO FIRE,FIAT,22353,44
DE MADRUGADA,MAUA,Via Pública,Furto (art. 155) - VEICULO,MAUÁ,Cinza,0,AUTOMOVEL,CORSA WIND,GM,6309,785
A NOITE,OSASCO,Via Pública,Furto (art. 155) - VEICULO,SANTANA DE PARNAÍBA,Prata,0,AUTOMOVEL,COBALT 18A LTZ,CHEVROLET,6309,135
A NOITE,MARAPOAMA,Via Pública,Furto (art. 155) - VEICULO,POÁ,Azul,0,AUTOMOVEL,UNO ELETRONIC,FIAT,6309,283
DE MADRUGADA,CARAPICUIBA,Residência,"Furto qualificado (art. 155, §4o.) - VEICULO",CARAPICUIBA,Preta,2022,MOTOCICLO,CG 160 FAN,HONDA,1162,1278
PELA MANHÃ,CARAPICUIBA,Outros,Furto (art. 155) - VEICULO,ITAPEVI,Branco,0,MOTOCICLO,XRE 300,HONDA,645,149
DE MADRUGADA,COTIA,Residência,"Furto qualificado (art. 155, §4o.) - VEICULO",BARUERI,Preta,2016,MOTOCICLO,CG 160 FAN ESDI,HONDA,1162,111
A TARDE,S.ANDRE,Via pública,Furto (art. 155) - VEICULO,S.PAULO,Branco,2014,CAMIONETA,KOMBI,VW,22353,114
EM HORA INCERTA,SUZANO,Via pública,Furto (art. 155) - VEICULO,CAXIAS DO SUL,Branco,2022,AUTOMOVEL,GOL 1.0L MC4,VW,22353,249
PELA MANHÃ,MAUA,Via Pública,Furto (art. 155) - VEICULO,MAUÁ,Vermelho,0,AUTOMOVEL,SANDERO EXP 16,RENAULT,6309,12
PELA MANHÃ,SUZANO,Via pública,Furto (art. 155) - VEICULO,SANTOS,Prata,2020,AUTOMOVEL,MOBI LIKE,FIAT,22353,349
DE MADRUGADA,TABOAO DA SERRA,Via pública,Furto (art. 155) - VEICULO,S.PAULO,Vermelho,2011,MOTOCICLO,FACTOR YBR125 ED,YAMAHA,22353,26
A TARDE,CARAPICUIBA,Garagem ou abrigo de residência,Furto (art. 155) - VEICULO,CAMPOS DO JORDÃO,Vermelho,0,MOTOCICLO,CG 160 FAN,HONDA,952,1278
PELA MANHÃ,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Branco,0,AUTOMOVEL,VIRTUS CL AD,VW,6309,23
A NOITE,SUZANO,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Azul,0,AUTOMOVEL,CORSA SUPER,GM,6309,194
PELA MANHÃ,GUARULHOS,Via Pública,Furto (art. 155) - VEICULO,GUARULHOS,Prata,0,AUTOMOVEL,LOGAN EXPR 16 M,RENAULT,6309,17
A NOITE,DIADEMA,Outros,Furto (art. 155) - VEICULO,DIADEMA,Azul,0,AUTOMOVEL,FOX 1.0 GII,VW,645,60
PELA MANHÃ,OSASCO,Via Pública,Furto (art. 155) - VEICULO,OSASCO,Preta,0,AUTOMOVEL,KA SE PLUS 1.0 HA C,FORD,6309,30
PELA MANHÃ,S.BERNARDO DO CAMPO,Via pública,Furto (art. 155) - VEICULO,S.PAULO,Cinza,2019,AUTOMOVEL,FOX XTREME MB,VW,22353,81
PELA MANHÃ,CARAPICUIBA,Via pública,Furto (art. 155) - VEICULO,CARAPICUIBA,Cinza,2018,AUTOMOVEL,HB20S 1.6A STYL,HYUNDAI,22353,2
PELA MANHÃ,SUZANO,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Prata,0,AUTOMOVEL,COURIER L 1.6 FLEX,FORD,6309,7
PELA MANHÃ,OSASCO,Via pública,Furto (art. 155) - VEICULO,OSASCO,Amarelo,2022,MOTOCICLO,CG 160 TITAN,HONDA,22353,662
PELA MANHÃ,FERRAZ DE VASCONCELOS,Residência,Violação de domicílio (art. 150),,,0,,,,1162,0
PELA MANHÃ,FERRAZ DE VASCONCELOS,Residência,Violação de domicílio (art. 150),FERRAZ DE VASCONCEL,Vermelho,1995,CAMIONETA,FORD F1000 4.9I S,IMP,1162,3
PELA MANHÃ,FERRAZ DE VASCONCELOS,Residência,Furto (art. 155) - OUTROS,,,0,,,,1162,0
PELA MANHÃ,FERRAZ DE VASCONCELOS,Residência,Furto (art. 155) - OUTROS,FERRAZ DE VASCONCEL,Vermelho,1995,CAMIONETA,FORD F1000 4.9I S,IMP,1162,3
PELA MANHÃ,FERRAZ DE VASCONCELOS,Residência,Furto (art. 155) - VEICULO,,,0,,,,1162,0
PELA MANHÃ,FERRAZ DE VASCONCELOS,Residência,Furto (art. 155) - VEICULO,FERRAZ DE VASCONCEL,Vermelho,1995,CAMIONETA,FORD F1000 4.9I S,IMP,1162,3
PELA MANHÃ,S.BERNARDO DO CAMPO,Via pública,Localização/Apreensão e Entrega de veículo,,,0,,,,22353,0
PELA MANHÃ,S.BERNARDO DO CAMPO,Via pública,Localização/Apreensão e Entrega de veículo,VITORIA,Prata,2018,CAMINHONETE,TOYOTA HILUX CDLOWM4FD,I,22353,9
PELA MANHÃ,S.BERNARDO DO CAMPO,Via pública,Furto (art. 155) - VEICULO,,,0,,,,22353,0
PELA MANHÃ,S.BERNARDO DO CAMPO,Via pública,Furto (art. 155) - VEICULO,VITORIA,Prata,2018,CAMINHONETE,TOYOTA HILUX CDLOWM4FD,I,22353,9
A TARDE,CARAPICUIBA,Via pública,Localização/Apreensão de veículo,,,0,,,,22353,0
A TARDE,CARAPICUIBA,Via pública,Localização/Apreensão de veículo,BELO HORIZONTE,Prata,2019,AUTOMOVEL,ONIX 1.0MT LT,CHEVROLET,22353,438
A TARDE,CARAPICUIBA,Via pública,"Furto qualificado (art. 155, §4o.) - VEICULO",,,0,,,,22353,0
A TARDE,CARAPICUIBA,Via pública,"Furto qualificado (art. 155, §4o.) - VEICULO",BELO HORIZONTE,Prata,2019,AUTOMOVEL,ONIX 1.0MT LT,CHEVROLET,22353,438
A NOITE,SANTANA DE PARNAIBA,Via pública,Furto (art. 155) - VEICULO,SANTANA DE PARNAIBA,Prata,2013,AUTOMOVEL,HB20 1.6M 1.6M,HYUNDAI,22353,13
PELA MANHÃ,VARGEM GRANDE PAULISTA,Via pública,Furto (art. 155) - VEICULO,VARGEM GRANDE PAULIS,Prata,2019,AUTOMOVEL,FOX CONNECT MB,VW,22353,167
PELA MANHÃ,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Cinza,0,Não Informado,CITY PERSONAL,HONDA,6309,7
A NOITE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,RIO GRANDE DA SERRA,Cinza,0,AUTOMOVEL,GOL SPECIAL,VW,6309,196
A NOITE,FERRAZ DE VASCONCELOS,Via Pública,Furto (art. 155) - VEICULO,FERRAZ DE VASCONCELO,Amarelo,0,MOTOCICLO,CBX 250 TWISTER,HONDA,6309,111
