Período Ocorrência,Cidade,Descrição Local,Rubrica,Cidade Veículo,Cor Veículo,Ano Modelo,Tipo Veículo,Modelo Veículo,Marca Veículo,contagem_descricaolocal,contagem_modelo_veic
DE MADRUGADA,ITAQUAQUECETUBA,Via pública,Furto (art. 155) - VEICULO,S.PAULO,Preta,1995,AUTOMOVEL,UNO ELETRONIC,FIAT,22353,283
DE MADRUGADA,TABOAO DA SERRA,Via pública,Furto (art. 155) - VEICULO,TABOAO DA SERRA,Preta,2011,MOTOCICLO,CG 150 FAN ESI,HONDA,22353,108
PELA MANHÃ,OSASCO,Via pública,Furto (art. 155) - VEICULO,S.PAULO,Branco,2016,AUTOMOVEL,208 GRIFFE A,PEUGEOT,22353,6
DE MADRUGADA,TABOAO DA SERRA,Via pública,Furto (art. 155) - VEICULO,TABOAO DA SERRA,Preta,2011,MOTOCICLO,CG 150 FAN ESI,HONDA,22353,108
EM HORA INCERTA,CARAPICUIBA,Via pública,Furto (art. 155) - VEICULO,S.PAULO,Vermelho,2002,AUTOMOVEL,FORD FOCUS 1.8L HA,I,22353,3
DE MADRUGADA,DIADEMA,Via Pública,Furto (art. 155) - VEICULO,DIADEMA,Preta,0,MOTOCICLO,FACTOR YBR125 K,YAMAHA,6309,30
PELA MANHÃ,MOGI DAS CRUZES,Via pública,Furto (art. 155) - VEICULO,MOGI DAS CRUZES,Branco,2017,AUTOMOVEL,HB20 1.0M COMFOR,HYUNDAI,22353,319
DE MADRUGADA,S.ANDRE,Estacionamento particular,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Verde,0,AUTOMOVEL,ELBA WEEKEND,FIAT,381,5
A TARDE,GUARULHOS,Via Pública,Furto (art. 155) - VEICULO,GUARULHOS,Branco,0,AUTOMOVEL,FORD 11000,FORD,6309,1
PELA MANHÃ,ARUJA,Via pública,Furto (art. 155) - VEICULO,JOINVILLE,Vermelho,0,CAMINHÃO,MERCEDES,I,22353,6
EM HORA INCERTA,CARAPICUIBA,Residência,Furto (art. 155) - VEICULO,CARAPICUIBA,Prata,2019,AUTOMOVEL,HB20 1.6M COMF,HYUNDAI,1162,24
PELA MANHÃ,GUARULHOS,Via pública,Furto (art. 155) - VEICULO,GUARULHOS,Prata,1996,AUTOMOVEL,CORSA WIND,GM,22353,785
DE MADRUGADA,GUARULHOS,Via Pública,Furto (art. 155) - VEICULO,BELO HORIZONTE,Branco,0,AUTOMOVEL,GOL 1.0L MC4,VW,6309,249
PELA MANHÃ,S.ANDRE,Outros,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Branco,0,AUTOMOVEL,CORSA WIND,GM,645,785
A NOITE,CARAPICUIBA,Via pública,Furto (art. 155) - VEICULO,S.PAULO,Preta,2013,MOTOCICLO,CG 150 TITAN EX,HONDA,22353,34
PELA MANHÃ,GUARULHOS,Via Pública,Furto (art. 155) - VEICULO,GUARULHOS,Prata,0,AUTOMOVEL,PRISMA 1.4MT LTZ,CHEV,6309,50
